SC001|D001 | 2024-06-09 | 09:00 | 10:00
SC002|D001 | 2024-06-10 | 10:00 | 11:00
SC003|D002 | 2024-06-11 | 11:00 | 12:00
SC004|D003 | 2024-06-15 | 10:00 | 11:00
SC005|D004 | 2024-06-17 | 14:00 | 15:00
SC006|D005 | 2024-06-18 | 08:00 | 09:00
SC007|D006 | 2024-06-19 | 13:00 | 14:00
SC008|D007 | 2024-06-20 | 15:00 | 16:00
SC009|D008 | 2024-06-22 | 09:00 | 10:00
SC0010|D009 | 2024-06-23 | 11:00 | 12:00
SC0011|D0010 | 2024-06-24 | 10:00 | 11:00
SC0012|D0011 | 2024-06-25 | 14:00 | 15:00
SC0013|D0012 | 2024-06-28 | 13:00 | 14:00
SC0014|D0013 | 2024-06-29 | 08:00 | 09:00
SC0015|D0021 | 2024-06-30 | 16:00 | 17:00
SC0016|D0021 | 2024-07-02 | 09:00 | 10:00
SC0019|D0021 | 2024-06-15 | 14:00 | 15:00
SC0020|D0021 | 2024-08-09 | 09:00 | 10:00
